codigo,nombre_producto,tipo_envase,destino,posibles_lineas_produccion
4-01-2453-1364,AGUARDIENTE AMARILLO DE MANZANARES SA 1500 VIDRIO 24°,1500CV-A,ESPAÑA,4
4-03-2453-1285,RON VIEJO DE CALDAS 3 AÑOS 375 VIDRIO 40° NP,375NI,ESPAÑA,3
4-03-0000-0970,SEMITERMINADO RON VIEJO DE CALDAS 15 GRE 700 VIDRIO 40°,700CV-15,UNI-EXP,4
4-03-0000-1032,SEMITERMINADO RON VIEJO DE CALDAS 15 GRE 750 VIDRIO 40°,750CV-15,UNI-EXP,4
4-03-2492-0983,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 750 VIDRIO 40°,750CV-15,ESTADOS UNIDOS ROYAL,4
4-03-2491-0751,RON VIEJO DE CALDAS 3 AÑOS 1750 VIDRIO 40°,1750-AD,ESTADOS UNIDOS MEXCOR,4
4-03-2491-0817,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40°,750NI,ESTADOS UNIDOS MEXCOR,2
4-03-2491-0830,RON VIEJO DE CALDAS ROBLE BLANCO 750 VIDRIO 40°,750NI,ESTADOS UNIDOS MEXCOR,1
4-03-2491-0835,RON VIEJO DE CALDAS 3 AÑOS 1000 VIDRIO 40°,1000NI,ESTADOS UNIDOS MEXCOR,1
4-03-2491-0837,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40°,750NI,ESTADOS UNIDOS MEXCOR,1
4-03-2491-0858,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40°,750CV-8,ESTADOS UNIDOS MEXCOR,4
4-03-2491-1007,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40° EST+1 V,750CV-8,ESTADOS UNIDOS MEXCOR,4
4-03-2491-1312,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° EST+2 VASOS,750NI,ESTADOS UNIDOS MEXCOR,SEMI
4-03-2492-0828,RON VIEJO DE CALDAS 3 AÑOS 375 VIDRIO 40°,375NI,ESTADOS UNIDOS ROYAL,1
4-03-2492-0834,RON VIEJO DE CALDAS 3 AÑOS 1000 VIDRIO 40°,1000NI,ESTADOS UNIDOS ROYAL,1
4-03-2492-0836,RON VIEJO DE CALDAS 3 AÑOS 1750 VIDRIO 40°,1750-AD,ESTADOS UNIDOS ROYAL,4
4-03-2492-0838,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40°,750NI,ESTADOS UNIDOS ROYAL,2
4-03-2492-0857,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40°,750CV-8,ESTADOS UNIDOS ROYAL,4
4-03-2492-0891,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40°,750NI,ESTADOS UNIDOS ROYAL,2
4-01-3860-1221,AGUARDIENTE AMARILLO DE MANZANARES SA 700 VIDRIO 24°,700CV-A,ITALIA,4
4-03-3860-1222,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 700 VID 40° NP,750CV-15,ITALIA,4
4-03-3860-1223,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40° NP,700CV-8,ITALIA,4
4-03-2452-1053,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40°,700CV-8,ESPAÑA,4
4-03-2452-1054,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 700 VIDRIO 40°,700CV-15,ESPAÑA,4
4-03-2750-1056,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 700 VIDRIO 40° ,700CV-15,FRANCIA,4
4-03-2750-1233,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40° NP,700CV-8,FRANCIA,4
4-03-5805-1075,RON VIEJO CALDAS 750ML40°N IM ,750NI,PANAMA,1
4-03-5805-1076,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40°,750NI,PANAMA,1
4-03-5805-1077,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40°,750CV-8,PANAMA,4
4-03-5805-1078,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 750 VIDRIO 40°,750CV-15,PANAMA,4
4-01-5805-1231,AGUARDIENTE AMARILLO DE MANZANARES SA 750 VIDRIO 24°,750CV-A,PANAMA,4
4-03-5805-1245,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° NP,750NI,PANAMA,2
4-03-5805-1246,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40° NP,750CV-8,PANAMA,4
4-03-5805-1244,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40° NP,750NI,PANAMA,2
4-01-5805-1079,AGUARDIENTE CRISTAL TRADICIONAL 750 VIDRIO 30°,750R,PANAMA,1
4-01-5805-1081,AGUARDIENTE CRISTAL SIN AZUCAR AZUL 750 VIDRIO 30° ,750V2,PANAMA,1
4-03-5806-1293,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40° NP,750NI,PANAMA,2
4-03-5806-1294,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° NP,750NI,PANAMA,2
